logFC	logCPM	LR	PValue	FDR
DPYSL5	3.35398318502488	2.38033025074004	303.624402797608	5.34750986651045e-68	4.52422840244659e-66
SCRG1	4.61346306652518	3.04001530401092	303.392803039896	6.00630619369559e-68	5.02636428100678e-66
STIL	1.6493563377706	4.42508100524092	303.10345885001	6.94454197519844e-68	5.74903534054331e-66
MCM10	2.44973520300098	4.00251077760777	302.737256640388	8.34495909235478e-68	6.83487660128079e-66
ESR1	-4.55798461904655	9.03181335771193	302.526090026216	9.27745791346746e-68	7.51864720797747e-66
C16orf57	1.01067539985993	5.48591850685928	300.984074115936	2.01083259544009e-67	1.61264584919721e-65
MCCC2	-1.83438848773437	7.87930245395904	300.607313482551	2.42917418112821e-67	1.92806309489753e-65
MCM6	1.2909458698683	6.31328226613511	300.317574983642	2.80919959999457e-67	2.20694160411819e-65
CDC123	1.12205203430543	6.42653482984815	300.215575176514	2.95668362215199e-67	2.29934416231799e-65
MSH2	1.06966218508813	5.98949886152054	300.02768515694	3.2489251649508e-67	2.50134748449562e-65
TYMS	1.90462021206218	5.30963091041926	299.733782521674	3.76505458208931e-67	2.87001536905996e-65
UBASH3B	2.08916996017229	3.61115825305698	299.454794094395	4.33065640323016e-67	3.26879643612441e-65
MLPH	-3.49483824018703	8.11532890941529	296.954207779161	1.51830152324705e-66	1.13489353664845e-64
RARRES1	3.1204535623983	6.38586126872747	292.293772323995	1.57315225317952e-65	1.16458646127203e-63
KRT16	3.99592532531588	5.95772428268369	291.192450293837	2.73359390218652e-65	2.00437518599372e-63
FSIP1	-4.46791530818386	4.29356021335879	290.169357925771	4.56725008668189e-65	3.31728852993999e-63
KCMF1	0.704145727918991	6.39201482998676	289.946385036556	5.10785469128823e-65	3.67526852974094e-63
THSD4	-3.09273100639447	7.33298724692203	289.924785327806	5.16350876378427e-65	3.68091240484955e-63
NCAPD2	1.40722348440346	6.92177048605653	289.757256974596	5.61626896254664e-65	3.96694080207766e-63
C6orf97	-2.97099537080734	4.81782714267349	288.256579337334	1.19243792913497e-64	8.34598146946372e-63
RABEP1	-1.68165564610394	7.77383515767329	287.995211576079	1.35952346116548e-64	9.42970371848024e-63
